       69	2018-10-27 16:47:50	1	0	1	0
      238	2018-10-27 16:47:59	1	0	1	0
       69	2018-10-27 16:52:29	1	0	1	0
      238	2018-10-27 16:52:35	1	0	1	0
       69	2018-10-27 16:54:58	1	0	1	0
      238	2018-10-27 16:55:06	1	0	1	0
       69	2018-10-27 16:57:08	1	0	15	0
       69	2018-10-27 16:59:23	1	0	15	0
      238	2018-10-27 17:00:43	1	0	1	0
       69	2018-10-27 17:23:16	1	0	1	0
      238	2018-10-27 17:23:21	1	0	1	0
       69	2018-10-27 17:28:22	1	0	1	0
      238	2018-10-27 17:28:26	1	0	1	0
