Nº de Legajo	Fecha y Hora	Código de Tarea

1	2015-04-01 07:12:56	0
1	2015-04-01 17:04:10	0
1	2015-04-02 07:41:31	0
1	2015-04-02 12:21:11	0
1	2015-04-06 07:03:14	0
1	2015-04-06 17:11:43	0
1	2015-04-07 07:16:02	0
1	2015-04-08 07:33:05	0
1	2015-04-08 17:01:51	0
1	2015-04-09 07:17:17	0
1	2015-04-09 17:01:30	0
1	2015-04-10 07:34:26	0
1	2015-04-10 16:54:30	0
1	2015-04-10 16:56:47	0
1	2015-04-11 08:57:16	0
1	2015-04-11 12:03:42	0
1	2015-04-13 07:59:18	0
1	2015-04-13 17:07:54	0
1	2015-04-14 07:14:40	0
1	2015-04-14 17:05:52	0
1	2015-04-15 07:23:27	0
1	2015-04-15 17:14:50	0
1	2015-04-16 16:59:52	0
1	2015-04-17 07:13:54	0
1	2015-04-17 17:20:09	0
1	2015-04-18 09:11:09	0
1	2015-04-18 12:18:11	0
1	2015-04-20 07:24:23	0
1	2015-04-20 17:00:07	0
1	2015-04-21 07:09:33	0
1	2015-04-21 17:25:55	0
1	2015-04-22 07:18:57	0
1	2015-04-22 17:00:05	0
1	2015-04-23 07:13:59	0
1	2015-04-23 17:12:16	0
1	2015-04-24 07:14:52	0
1	2015-04-24 17:00:45	0
1	2015-04-25 08:55:29	0
1	2015-04-25 12:11:05	0
1	2015-04-27 08:00:43	0
1	2015-04-27 17:11:48	0
1	2015-04-28 07:26:34	0
1	2015-04-28 17:21:21	0
1	2015-04-29 07:28:29	0
1	2015-04-29 17:08:56	0
1	2015-04-30 07:15:39	0
1	2015-04-30 17:02:41	0
1	2015-05-02 08:43:52	0
1	2015-05-02 12:05:05	0
1	2015-05-04 07:14:43	0
1	2015-05-04 17:11:32	0
1	2015-05-05 07:31:31	0
9999     	xxx xxxxx     	12/12/2119 12:12:12 a. m. 	Entrada	Suzuki      	0               
